   Y(Boylam)    X(Enlem)
   30.4818446   36.8375320
   30.1965860   37.0644260
   30.2857650   36.3669480
   31.4412820   36.7868690
   30.7694760   36.8827594
   31.1044470   36.9173990
   42.7022800   41.1129500
   43.1238114   41.1194667
   42.8395200   41.3396169
   42.6095339   40.7933520
   42.8477770   41.2334090
   42.7278010   41.5095990
   42.0655290   41.1233780
   41.3089950   41.3530550
   41.8208190   41.1809370
   41.6791000   41.3637000
   41.4198430   41.3946180
   41.5622610   41.2784870
   42.3546720   41.2527570
   41.5436470   40.8206690
   28.3101570   37.6728730
   28.7429600   37.9639030
   28.0611400   37.6140810
   27.2647290   37.3760940
   27.8455601   37.8380162
   27.6011340   37.8726480
   27.7234240   37.8537850
   28.6072310   37.7290680
   27.8358090   37.5603500
   27.6904167   37.6643375
   28.0521330   37.8536940
   27.2610150   37.8579130
   28.4597860   37.9138610
   28.3242940   37.9097770
   27.4056660   37.7519610
   28.1544630   37.8897330
   28.1956790   37.8233960
   27.8817576   39.6452994
   26.6923870   39.3191850
   27.5788210   39.7498720
   27.9714050   40.3537070
   28.1315440   39.3938830
   26.9801720   39.5030550
   28.6270580   39.5856710
   27.0218880   39.5946640
   27.7916730   40.3983200
   26.8399600   39.3909329
   27.6583730   40.1025720
   27.1002360   39.5577900
   27.4853840   39.5820070
   27.8455209   39.6560344
   28.1524460   39.6903999
   27.9695290   40.0474090
   27.5572200   40.5877620
   27.6539000   39.3834240
   28.1749790   39.2388490
   28.1569020   39.9139100
   32.3855370   41.7470209
   32.3338110   41.6376020
   32.7206920   41.8439030
   32.6398040   41.5837460
   41.1292832   37.8895167
   41.2927220   37.9162080
   41.3853290   37.5682959
   41.4152080   37.7128060
   41.4888610   38.1937580
   41.4202930   38.3337660
   40.1467740   40.3898430
   40.2280480   40.2603200
   39.8928490   40.1625350
   29.9793300   40.1425730
   30.0398250   39.9060580
   30.3153020   40.2836170
   30.3856250   40.0491060
   30.0134000   40.3584000
   29.9034470   39.9955280
   30.1834000   40.0150999
   30.5189590   40.1780350
