                                 Şehir        X(Enlem)     Y(Boylam)
                           Foça  İzmir 495   38.6703780   26.7579180
                       Gaziemir  İzmir 496   38.3251500   27.1225200
                     Güzelbahçe  İzmir 497   38.3349260   26.8995920
                     Karabağlar  İzmir 498   38.3465505   27.0441009
                      Karaburun  İzmir 499   38.6382509   26.5127380
                      Karşıyaka  İzmir 500   38.5183996   27.1382404
                      Kemalpaşa  İzmir 501   38.4275000   27.4188000
                          Kınık  İzmir 502   39.0859000   27.3818000
                          Kiraz  İzmir 503   38.2302000   28.2064000
                          Konak  İzmir 504   38.4144802   27.1441227
                       Menderes  İzmir 505   38.2517440   27.1326680
                        Menemen  İzmir 506   38.6103660   27.0696580
                      Narlıdere  İzmir 507   38.3777936   26.9970153
                         Ödemiş  İzmir 508   38.2190057   27.9717606
                    Seferihisar  İzmir 509   38.1951500   26.8344020
                         Selçuk  İzmir 510   37.9508450   27.3699540
                           Tire  İzmir 511   38.0894780   27.7318380
                        Torbalı  İzmir 512   38.1557310   27.3644940
                           Urla  İzmir 513   38.3249720   26.7668100
                  Afşin  Kahramanmaraş 514   38.2438020   36.9147220
                Andırın  Kahramanmaraş 515   37.5757180   36.3497670
          Çağlayancerit  Kahramanmaraş 516   37.7501640   37.2932080
           Dulkadiroğlu  Kahramanmaraş 517   37.5785696   36.9494050
                Ekinözü  Kahramanmaraş 518   38.0593220   37.1886920
               Elbistan  Kahramanmaraş 519   38.2065370   37.1930760
                 Göksun  Kahramanmaraş 520   38.0203820   36.4948690
                 Nurhak  Kahramanmaraş 521   37.9656329   37.4474450
             Onikişubat  Kahramanmaraş 522   37.5752755   36.9228223
               Pazarcık  Kahramanmaraş 523   37.4894620   37.2935740
               Türkoğlu  Kahramanmaraş 524   37.3847510   36.8462380
                       Eflani  Karabük 525   41.4231300   32.9586630
                    Eskipazar  Karabük 526   40.9445000   32.5322000
               Karabük merkez  Karabük 527   41.1956200   32.6226540
                       Ovacık  Karabük 528   41.0732760   32.9175140
                   Safranbolu  Karabük 529   41.2493060   32.6831280
                       Yenice  Karabük 530   41.2002000   32.3292000
                      Ayrancı  Karaman 531   37.3617670   33.6893090
                     Başyayla  Karaman 532   36.7537049   32.6770010
                      Ermenek  Karaman 533   36.6402610   32.8920380
               Karaman merkez  Karaman 534   37.1810090   33.2222430
               Kazımkarabekir  Karaman 535   37.2273170   32.9589780
                  Sarıveliler  Karaman 536   36.6986110   32.6177660
                          Akyaka  Kars 537   40.7425610   43.6273780
                         Arpaçay  Kars 538   40.8467470   43.3320950
                           Digor  Kars 539   40.3750829   43.4141780
                        Kağızman  Kars 540   40.1406480   43.1191180
                     Kars merkez  Kars 541   40.6013378   43.0974525
                       Sarıkamış  Kars 542   40.3334010   42.5904790
                           Selim  Kars 543   40.4641180   42.7906250
                           Susuz  Kars 544   40.7796329   43.1298040
                      Abana  Kastamonu 545   41.9787570   34.0147470
                       Ağlı  Kastamonu 546   41.6869900   33.5538150
                       Araç  Kastamonu 547   41.2426419   33.3285070
                    Azdavay  Kastamonu 548   41.6425330   33.3057190
                    Bozkurt  Kastamonu 549   41.9573410   34.0116800
                       Cide  Kastamonu 550   41.8922210   33.0036760
                Çatalzeytin  Kastamonu 551   41.9511780   34.2267060
                      Daday  Kastamonu 552   41.4776260   33.4692280
                  Devrekani  Kastamonu 553   41.6038910   33.8352140
                  Doğanyurt  Kastamonu 554   42.0042990   33.4604770
                     Hanönü  Kastamonu 555   41.6254030   34.4632689
                  İhsangazi  Kastamonu 556   41.2038490   33.5547240
                    İnebolu  Kastamonu 557   41.9772500   33.7593580
           Kastamonu merkez  Kastamonu 558   41.3766250   33.7764970
                       Küre  Kastamonu 559   41.8059780   33.7102689
                  Pınarbaşı  Kastamonu 560   41.6038360   33.1107660
                   Seydiler  Kastamonu 561   41.6199530   33.7185210
                   Şenpazar  Kastamonu 562   41.8097410   33.2314040
                   Taşköprü  Kastamonu 563   41.5099450   34.2102840
                      Tosya  Kastamonu 564   41.0174189   34.0374679
                      Akkışla  Kayseri 565   39.0023600   36.1735450
                       Bünyan  Kayseri 566   38.8550619   35.8520980
                       Develi  Kayseri 567   38.3886520   35.4928160
                     Felahiye  Kayseri 568   39.0900960   35.5673410
                      Hacılar  Kayseri 569   38.6459819   35.4525560
                       İncesu  Kayseri 570   38.6232980   35.1838600
                    Kocasinan  Kayseri 571   38.7204890   35.4825970
                    Melikgazi  Kayseri 572   38.7204890   35.4825970
                      Özvatan  Kayseri 573   39.1063810   35.6991129
                    Pınarbaşı  Kayseri 574   38.7205129   36.3950200
                    Sarıoğlan  Kayseri 575   39.0778180   35.9669570
                        Sarız  Kayseri 576   38.4805720   36.4977980
                        Talas  Kayseri 577   38.6875010   35.5555680
                      Tomarza  Kayseri 578   38.4479250   35.7991040
                      Yahyalı  Kayseri 579   38.0991710   35.3591590
                   Yeşilhisar  Kayseri 580   38.3561600   35.0859440
                    Bahşili  Kırıkkale 581   39.8132520   33.4718040
                   Balışeyh  Kırıkkale 582   39.9097750   33.7182270
                     Çelebi  Kırıkkale 583   39.4646670   33.5256220
                     Delice  Kırıkkale 584   39.9436870   34.0326160
                 Karakeçili  Kırıkkale 585   39.5931179   33.3781729
                     Keskin  Kırıkkale 586   39.6718339   33.6108040
           Kırıkkale merkez  Kırıkkale 587   39.8397835   33.5088782
                  Sulakyurt  Kırıkkale 588   40.1584500   33.7181270
                   Yahşihan  Kırıkkale 589   39.8489010   33.4523530
                  Babaeski  Kırklareli 590   41.4313239   27.0917980
                  Demirköy  Kırklareli 591   41.8226180   27.7627560
         Kırklareli merkez  Kırklareli 592   41.7354720   27.2243690
                    Kofçaz  Kırklareli 593   41.9428000   27.1571480
                Lüleburgaz  Kırklareli 594   41.4027420   27.3656460
               Pehlivanköy  Kırklareli 595   41.3471110   26.9243540
                Pınarhisar  Kırklareli 596   41.6242710   27.5178880
                      Vize  Kırklareli 597   41.5729760   27.7671480
                    Akçakent  Kırşehir 598   39.6249810   34.0962280
                     Akpınar  Kırşehir 599   39.4519949   33.9602190
                     Boztepe  Kırşehir 600   39.2702160   34.2658410
                   Çiçekdağı  Kırşehir 601   39.6016700   34.4180620
                       Kaman  Kırşehir 602   39.3589370   33.7233750
             Kırşehir merkez  Kırşehir 603   39.1460780   34.1594989
                       Mucur  Kırşehir 604   39.0635350   34.3738540
                        Elbeyli  Kilis 605   36.6750040   37.4669270
                   Kilis merkez  Kilis 606   36.7164770   37.1146610
                      Musabeyli  Kilis 607   36.8858970   36.9159230
                       Polateli  Kilis 608   36.8421740   37.1435520
                    Başiskele  Kocaeli 609   40.6298368   29.9509260
                     Çayırova  Kocaeli 610   40.8242150   29.3722340
                       Darıca  Kocaeli 611   40.7738633   29.4002978
                      Derince  Kocaeli 612   40.7561890   29.8309180
                     Dilovası  Kocaeli 613   40.7876220   29.5441580
                        Gebze  Kocaeli 614   40.8025157   29.4397941
                       Gölcük  Kocaeli 615   40.7167517   29.8194875
                        İzmit  Kocaeli 616   40.7702760   29.9875350
                      Kandıra  Kocaeli 617   41.0703630   30.1523940
                   Karamürsel  Kocaeli 618   40.6912740   29.6164180
                      Kartepe  Kocaeli 619   40.7533690   30.0232160
                       Körfez  Kocaeli 620   40.7763820   29.7377180
                         Ahırlı  Konya 621   37.2390770   32.1208790
                         Akören  Konya 622   37.4525980   32.3711390
                        Akşehir  Konya 623   38.3602580   31.4179910
                      Altınekin  Konya 624   38.3082740   32.8688880
                       Beyşehir  Konya 625   37.6797960   31.7242990
                         Bozkır  Konya 626   37.1889120   32.2453930
                     Cihanbeyli  Konya 627   38.6568830   32.9233030
                         Çeltik  Konya 628   39.0234290   31.7905520
                          Çumra  Konya 629   37.5738990   32.7810380
                        Derbent  Konya 630   38.0134320   32.0153230
                      Derebucak  Konya 631   37.3910800   31.5100870
                     Doğanhisar  Konya 632   38.1459550   31.6767500
                       Emirgazi  Konya 633   37.9040830   33.8361450
                         Ereğli  Konya 634   37.5123160   34.0488060
                     Güneysınır  Konya 635   37.2679230   32.7274200
                          Hadim  Konya 636   36.9860630   32.4558750
                     Halkapınar  Konya 637   37.4336429   34.1868550
                          Hüyük  Konya 638   37.9512790   31.5993330
                          Ilgın  Konya 639   38.2817239   31.9139500
                      Kadınhanı  Konya 640   38.2408710   32.2078680
                      Karapınar  Konya 641   37.7153200   33.5465700
                        Karatay  Konya 642   37.8746429   32.4931554
                           Kulu  Konya 643   39.0902450   33.0805280
                          Meram  Konya 644   37.8746429   32.4931554
                       Sarayönü  Konya 645   38.2646609   32.4070750
                       Selçuklu  Konya 646   37.8746429   32.4931554
                     Seydişehir  Konya 647   37.4192600   31.8482160
                        Taşkent  Konya 648   36.9236829   32.4932270
                       Tuzlukçu  Konya 649   38.4743769   31.6294830
                      Yalıhüyük  Konya 650   37.3005340   32.0854530
                          Yunak  Konya 651   38.8134560   31.7356520
                     Altıntaş  Kütahya 652   39.0579970   30.1085560
                     Aslanapa  Kütahya 653   39.2149020   29.8703450
                  Çavdarhisar  Kütahya 654   39.1968720   29.6172460
                      Domaniç  Kütahya 655   39.8009990   29.6127310
                   Dumlupınar  Kütahya 656   38.8552000   29.9762000
                         Emet  Kütahya 657   39.3444130   29.2578990
                        Gediz  Kütahya 658   38.9907360   29.3957050
                     Hisarcık  Kütahya 659   39.2465280   29.2358960
               Kütahya merkez  Kütahya 660   39.4199547   29.9857320
                     Pazarlar  Kütahya 661   38.9951999   29.1239000
                        Simav  Kütahya 662   39.0896000   28.9787000
                      Şaphane  Kütahya 663   39.0249100   29.2200650
                     Tavşanlı  Kütahya 664   39.5470000   29.4914000
                      Akçadağ  Malatya 665   38.3883533   37.7960607
                      Arapgir  Malatya 666   39.0428349   38.4883640
                      Arguvan  Malatya 667   38.7826930   38.2647950
                   Battalgazi  Malatya 668   38.4250200   38.3654439
                      Darende  Malatya 669   38.5566640   37.4906050
                   Doğanşehir  Malatya 670   38.0934150   37.8781160
                     Doğanyol  Malatya 671   38.3102990   39.0377490
                     Hekimhan  Malatya 672   38.8165250   37.9307790
                         Kale  Malatya 673   38.4237440   38.7731240
                     Kuluncak  Malatya 674   38.8857000   37.6703000
                      Pütürge  Malatya 675   38.1959260   38.8689250
                      Yazıhan  Malatya 676   38.5957600   38.1800750
                    Yeşilyurt  Malatya 677   38.2954590   38.2474750
                       Ahmetli  Manisa 678   38.5163810   27.9379640
                       Akhisar  Manisa 679   38.9176640   27.8366200
                      Alaşehir  Manisa 680   38.3544580   28.5165410
                       Demirci  Manisa 681   39.0473360   28.6585440
                    Gölmarmara  Manisa 682   38.7139130   27.9184260
                        Gördes  Manisa 683   38.9330290   28.2886680
                      Kırkağaç  Manisa 684   39.1197897   27.7842460
                     Köprübaşı  Manisa 685   38.7482210   28.4042890
                          Kula  Manisa 686   38.5432340   28.6445850
                       Salihli  Manisa 687   38.4870740   28.1380520
                       Sarıgöl  Manisa 688   38.2383510   28.6964340
                     Saruhanlı  Manisa 689   38.7349820   27.5698180
                       Selendi  Manisa 690   38.7439880   28.8673670
                          Soma  Manisa 691   39.1851130   27.6087920
                    Şehzadeler  Manisa 692   38.6140337   27.4295624
                      Turgutlu  Manisa 693   38.5001610   27.7084100
                     Yunusemre  Manisa 694   38.6262479   27.3878497
                       Artuklu  Mardin 695   37.3271054   40.7191664
                      Dargeçit  Mardin 696   37.5461839   41.7203810
                         Derik  Mardin 697   37.3646570   40.2679370
                     Kızıltepe  Mardin 698   37.1931114   40.5870361
                      Mazıdağı  Mardin 699   37.4773680   40.4867360
                        Midyat  Mardin 700   37.4151480   41.3734300
                      Nusaybin  Mardin 701   37.0696439   41.2139970
                        Ömerli  Mardin 702   37.4031100   40.9548250
                         Savur  Mardin 703   37.5339280   40.8870890
                       Yeşilli  Mardin 704   37.3396080   40.8230190
                       Akdeniz  Mersin 705   36.8121041   34.6414811
                        Anamur  Mersin 706   36.0772860   32.8328890
                      Aydıncık  Mersin 707   36.1431929   33.3210030
                       Bozyazı  Mersin 708   36.1054300   32.9739010
                    Çamlıyayla  Mersin 709   37.1665300   34.5935879
                       Erdemli  Mersin 710   36.6058189   34.3101670
                        Gülnar  Mersin 711   36.3387340   33.3991240
                       Mezitli  Mersin 712   36.8573692   34.3976356
                           Mut  Mersin 713   36.6453810   33.4371000
                       Silifke  Mersin 714   36.3763300   33.9253110
                        Tarsus  Mersin 715   36.9165612   34.8952102
                      Toroslar  Mersin 716   36.8121041   34.6414811
                     Yenişehir  Mersin 717   36.8121041   34.6414811
                         Bodrum  Muğla 718   37.0344070   27.4305400
                        Dalaman  Muğla 719   36.7666200   28.7999910
                          Datça  Muğla 720   36.7262170   27.6858440
                        Fethiye  Muğla 721   36.6592460   29.1263470
                    Kavaklıdere  Muğla 722   37.4453820   28.3661230
                       Köyceğiz  Muğla 723   36.9660340   28.6885930
                       Marmaris  Muğla 724   36.8549360   28.2708780
                        Menteşe  Muğla 725   37.4213499   28.4321570
                          Milas  Muğla 726   37.3116380   27.7807950
                         Ortaca  Muğla 727   36.8387230   28.7654690
                     Seydikemer  Muğla 728   36.6480362   29.3591524
                            Ula  Muğla 729   37.1021530   28.4177560
                        Yatağan  Muğla 730   37.3402530   28.1400320
                          Bulanık  Muş 731   39.0965599   42.2680570
                           Hasköy  Muş 732   38.6842630   41.6907780
                           Korkut  Muş 733   38.7385870   41.7858260
                        Malazgirt  Muş 734   39.1461450   42.5409600
                       Muş merkez  Muş 735   38.7345610   41.4910380
                            Varto  Muş 736   39.1732910   41.4559740
                      Acıgöl  Nevşehir 737   38.5501090   34.5088870
                      Avanos  Nevşehir 738   38.7108140   34.8420810
                   Derinkuyu  Nevşehir 739   38.3745480   34.7333650
                    Gülşehir  Nevşehir 740   38.7425650   34.6192030
                  Hacıbektaş  Nevşehir 741   38.9429290   34.5608540
                     Kozaklı  Nevşehir 742   39.2146450   34.8525220
             Nevşehir merkez  Nevşehir 743   38.6246940   34.7141510
                       Ürgüp  Nevşehir 744   38.6311690   34.9121820
                     Altunhisar  Niğde 745   37.9979850   34.3712150
                            Bor  Niğde 746   37.8940250   34.5617770
                        Çamardı  Niğde 747   37.8334880   34.9857240
                        Çiftlik  Niğde 748   38.1750570   34.4847720
                   Niğde merkez  Niğde 749   37.9697740   34.6766080
                       Ulukışla  Niğde 750   37.5465460   34.4842560
                           Akkuş  Ordu 751   40.7913220   37.0182750
                       Altınordu  Ordu 752   40.9986750   29.2221615
                         Aybastı  Ordu 753   40.6845000   37.3988350
                           Çamaş  Ordu 754   40.9034710   37.5274790
                      Çatalpınar  Ordu 755   40.8795560   37.4530900
                         Çaybaşı  Ordu 756   40.9806925   37.0620698
                           Fatsa  Ordu 757   41.0312310   37.5003600
                          Gölköy  Ordu 758   40.6877270   37.6175820
                         Gülyalı  Ordu 759   40.9668240   38.0562400
                      Gürgentepe  Ordu 760   40.7914200   37.6009079
                          İkizce  Ordu 761   41.0598050   37.0800539
                         Kabadüz  Ordu 762   40.8587260   37.8896340
                         Kabataş  Ordu 763   40.7506650   37.4483660
                          Korgan  Ordu 764   40.8285820   37.3446320
                           Kumru  Ordu 765   40.8727730   37.2614660
                        Mesudiye  Ordu 766   40.4633070   37.7735550
                        Perşembe  Ordu 767   41.0670890   37.7734690
                          Ulubey  Ordu 768   40.8729550   37.7585390
                            Ünye  Ordu 769   41.1272400   37.2886359
                       Bahçe  Osmaniye 770   37.1966220   36.5725940
                      Düziçi  Osmaniye 771   37.2401790   36.4533170
                  Hasanbeyli  Osmaniye 772   37.1317230   36.5529870
                     Kadirli  Osmaniye 773   37.3740219   36.0974230
             Osmaniye merkez  Osmaniye 774   37.0746279   36.2464002
                      Sumbas  Osmaniye 775   37.4473259   36.0276310
                  Toprakkale  Osmaniye 776   37.0624150   36.1452160
                         Ardeşen  Rize 777   41.1917820   40.9890950
                     Çamlıhemşin  Rize 778   41.0493070   41.0036300
                          Çayeli  Rize 779   41.0901540   40.7275350
                      Derepazarı  Rize 780   41.0239800   40.4217770
                        Fındıklı  Rize 781   41.2706609   41.1400570
                         Güneysu  Rize 782   40.9777280   40.6125850
                          Hemşin  Rize 783   41.0482020   40.8990579
                        İkizdere  Rize 784   40.7752350   40.5619510
                         İyidere  Rize 785   41.0121759   40.3606290
                      Kalkandere  Rize 786   40.9288090   40.4423980
                           Pazar  Rize 787   41.1806620   40.8867649
                     Rize merkez  Rize 788   41.0255110   40.5176660
                    Adapazarı  Sakarya 789   40.7730743   30.3948169
                       Akyazı  Sakarya 790   40.6834860   30.6249340
                      Arifiye  Sakarya 791   40.7145409   30.3623750
                      Erenler  Sakarya 792   40.7510390   30.4142630
                      Ferizli  Sakarya 793   40.9391820   30.4867950
                        Geyve  Sakarya 794   40.5086350   30.2902660
                       Hendek  Sakarya 795   40.7950530   30.7447060
                   Karapürçek  Sakarya 796   40.6428820   30.5400970
                       Karasu  Sakarya 797   41.0956150   30.6923560
                     Kaynarca  Sakarya 798   41.0332999   30.3077000
                      Kocaali  Sakarya 799   41.0555000   30.8509000
                     Pamukova  Sakarya 800   40.5056840   30.1692400
                      Sapanca  Sakarya 801   40.6896800   30.2614280
                     Serdivan  Sakarya 802   40.7730743   30.3948169
                      Söğütlü  Sakarya 803   40.8840928   30.4807911
                      Taraklı  Sakarya 804   40.3965699   30.4921270
                      19 mayıs  Samsun 805   41.4767864   36.0307504
                        Alaçam  Samsun 806   41.6042940   35.5986500
                       Asarcık  Samsun 807   41.0371230   36.2349710
                        Atakum  Samsun 808   41.2797031   36.3360667
                       Ayvacık  Samsun 809   40.9896070   36.6308300
                         Bafra  Samsun 810   41.5619590   35.9056860
                         Canik  Samsun 811   41.2797031   36.3360667
                      Çarşamba  Samsun 812   41.1985230   36.7218210
                         Havza  Samsun 813   40.9682630   35.6669820
                       İlkadım  Samsun 814   41.2797031   36.3360667
                         Kavak  Samsun 815   41.0791240   36.0423720
                         Ladik  Samsun 816   40.9120470   35.8948250
                    Salıpazarı  Samsun 817   41.0822900   36.8252550
                      Tekkeköy  Samsun 818   41.2132689   36.4631270
                         Terme  Samsun 819   41.2086470   36.9720550
                    Vezirköprü  Samsun 820   41.1431110   35.4605940
                      Yakakent  Samsun 821   41.6312320   35.5304900
                         Baykan  Siirt 822   38.1626490   41.7851940
                           Eruh  Siirt 823   37.7505170   42.1798770
                       Kurtalan  Siirt 824   37.9269440   41.7027890
                        Pervari  Siirt 825   37.9326470   42.5476079
                   Siirt merkez  Siirt 826   37.9274040   41.9419780
                         Şirvan  Siirt 827   38.0622430   42.0293450
                          Tillo  Siirt 828   37.9498810   42.0116590
                        Ayancık  Sinop 829   41.9458060   34.5883540
                        Boyabat  Sinop 830   41.4661050   34.7711200
                         Dikmen  Sinop 831   41.6511670   35.2636690
                        Durağan  Sinop 832   41.4169580   35.0520860
                        Erfelek  Sinop 833   41.8800950   34.9095270
                          Gerze  Sinop 834   41.8005990   35.1920100
                      Saraydüzü  Sinop 835   41.3281480   34.8472220
                   Sinop merkez  Sinop 836   42.0279740   35.1517250
                        Türkeli  Sinop 837   41.9484210   34.3369530
                      Akıncılar  Sivas 838   40.0789440   38.3463680
                     Altınyayla  Sivas 839   39.2734600   36.7458380
                        Divriği  Sivas 840   39.3748850   38.1185210
                       Doğanşar  Sivas 841   40.2140340   37.5375980
                        Gemerek  Sivas 842   39.1848720   36.0717320
                         Gölova  Sivas 843   40.0612160   38.6086780
                          Gürün  Sivas 844   38.7213489   37.2711670
                          Hafik  Sivas 845   39.8560230   37.3895810
                        İmranlı  Sivas 846   39.8753580   38.1125010
                         Kangal  Sivas 847   39.2358680   37.3888490
                     Koyulhisar  Sivas 848   40.3015380   37.8321850
                   Sivas merkez  Sivas 849   39.7505450   37.0150217
                        Suşehri  Sivas 850   40.1631540   38.0915000
                       Şarkışla  Sivas 851   39.3501950   36.4077500
                           Ulaş  Sivas 852   39.4445740   37.0410449
                      Yıldızeli  Sivas 853   39.8666760   36.6003960
                           Zara  Sivas 854   39.8984450   37.7572360
                   Akçakale  Şanlıurfa 855   36.7133490   38.9484400
                    Birecik  Şanlıurfa 856   37.0249930   37.9774760
                     Bozova  Şanlıurfa 857   37.3614790   38.5264680
                Ceylanpınar  Şanlıurfa 858   36.8530580   40.0473980
                   Eyyübiye  Şanlıurfa 859   37.1674039   38.7955149
                    Halfeti  Şanlıurfa 860   37.2482360   37.8684640
                   Haliliye  Şanlıurfa 861   37.7506386   39.3124988
                     Harran  Şanlıurfa 862   36.8631310   39.0242760
                     Hilvan  Şanlıurfa 863   37.5890470   38.9584620
                  Karaköprü  Şanlıurfa 864   37.2271346   38.8100855
                    Siverek  Şanlıurfa 865   37.7541040   39.3177160
                      Suruç  Şanlıurfa 866   36.9751199   38.4242870
                 Viranşehir  Şanlıurfa 867   37.2358670   39.7623780
                   Beytüşşebap  Şırnak 868   37.6624457   43.1082301
                         Cizre  Şırnak 869   37.3323460   42.1854740
                    Güçlükonak  Şırnak 870   37.4721150   41.9124420
                          İdil  Şırnak 871   37.3402000   41.8934000
                        Silopi  Şırnak 872   37.2487000   42.4713000
                 Şırnak merkez  Şırnak 873   37.5189740   42.4537140
                       Uludere  Şırnak 874   37.4451100   42.8568590
                   Çerkezköy  Tekirdağ 875   41.2833740   28.0003360
                       Çorlu  Tekirdağ 876   41.1558120   27.8137319
                      Ergene  Tekirdağ 877   40.9830226   27.5014355
                   Hayrabolu  Tekirdağ 878   41.2134500   27.1067830
                     Kapaklı  Tekirdağ 879   41.3244330   27.9773590
                     Malkara  Tekirdağ 880   40.8937560   26.9038860
             Marmaraereğlisi  Tekirdağ 881   40.9693320   27.9548400
                     Muratlı  Tekirdağ 882   41.1726200   27.4963300
                       Saray  Tekirdağ 883   41.4410860   27.9215880
                Süleymanpaşa  Tekirdağ 884   40.9780919   27.5116740
                      Şarköy  Tekirdağ 885   40.6148640   27.1114200
                          Almus  Tokat 886   40.3760640   36.9035350
                         Artova  Tokat 887   40.1179640   36.3013750
                     Başçiftlik  Tokat 888   40.5652547   37.1367034
                          Erbaa  Tokat 889   40.6727260   36.5712470
                         Niksar  Tokat 890   40.5901590   36.9511850
                          Pazar  Tokat 891   40.2772549   36.2847490
                       Reşadiye  Tokat 892   40.3924060   37.3360330
                      Sulusaray  Tokat 893   39.9975049   36.0837560
                   Tokat merkez  Tokat 894   40.3234643   36.5521928
                         Turhal  Tokat 895   40.3861580   36.0878230
                      Yeşilyurt  Tokat 896   40.0064710   36.2203550
                           Zile  Tokat 897   40.3018470   35.8867220
                     Akçaabat  Trabzon 898   41.0220420   39.5708680
                       Araklı  Trabzon 899   40.9397160   40.0551530
                        Arsin  Trabzon 900   40.9539560   39.9372150
                    Beşikdüzü  Trabzon 901   41.0516600   39.2312530
                    Çarşıbaşı  Trabzon 902   41.0821780   39.3811500
                      Çaykara  Trabzon 903   40.7484840   40.2423620
                 Dernekpazarı  Trabzon 904   40.7991180   40.2477660
                       Düzköy  Trabzon 905   40.8740730   39.4252090
                       Hayrat  Trabzon 906   40.8888140   40.3675460
                    Köprübaşı  Trabzon 907   40.8084500   40.1234800
                        Maçka  Trabzon 908   40.8142210   39.6106620
                           Of  Trabzon 909   40.9434449   40.2633240
                    Ortahisar  Trabzon 910   41.0054651   39.7198525
                      Sürmene  Trabzon 911   40.9113650   40.1187580
                    Şalpazarı  Trabzon 912   40.9419590   39.1930330
                        Tonya  Trabzon 913   40.8864520   39.2908130
                   Vakfıkebir  Trabzon 914   41.0458330   39.2790240
                        Yomra  Trabzon 915   40.9540170   39.8670029
                   Çemişgezek  Tunceli 916   39.0625750   38.9123720
                        Hozat  Tunceli 917   39.1080250   39.2186700
                      Mazgirt  Tunceli 918   39.0185440   39.6051120
                     Nazımiye  Tunceli 919   39.1811630   39.8285440
                       Ovacık  Tunceli 920   39.3570440   39.2165880
                       Pertek  Tunceli 921   38.8677700   39.3245660
                      Pülümür  Tunceli 922   39.4865039   39.8953940
               Tunceli merkez  Tunceli 923   39.1061700   39.5482590
                           Banaz  Uşak 924   38.7398200   29.7531740
                            Eşme  Uşak 925   38.3998800   28.9713840
                       Karahallı  Uşak 926   38.3199450   29.5314980
                         Sivaslı  Uşak 927   38.4999030   29.6838640
                          Ulubey  Uşak 928   38.4216600   29.2904510
                     Uşak merkez  Uşak 929   38.6742286   29.4058825
                       Bahçesaray  Van 930   38.1266279   42.8058860
                          Başkale  Van 931   38.0476000   44.0149000
                         Çaldıran  Van 932   39.1420000   43.9140000
                            Çatak  Van 933   38.0078440   43.0589600
                          Edremit  Van 934   38.4227450   43.2411530
                            Erciş  Van 935   39.0290690   43.3591490
                            Gevaş  Van 936   38.2978000   43.1055000
                         Gürpınar  Van 937   38.2098937   43.5632679
                         İpekyolu  Van 938   38.4920082   43.3703044
                         Muradiye  Van 939   38.9945420   43.7672630
                            Özalp  Van 940   38.6582999   43.9893000
                            Saray  Van 941   38.6505000   44.1701000
                            Tuşba  Van 942   38.5012085   43.3729793
                      Altınova  Yalova 943   40.6966449   29.5101080
                       Armutlu  Yalova 944   40.5188420   28.8293870
                      Çınarcık  Yalova 945   40.6451560   29.1192410
                    Çiftlikköy  Yalova 946   40.6627480   29.3153460
                        Termal  Yalova 947   40.6060820   29.1743470
                 Yalova merkez  Yalova 948   40.6548950   29.2841860
                   Akdağmadeni  Yozgat 949   39.6601799   35.8822680
                      Aydıncık  Yozgat 950   40.1285710   35.2863040
                    Boğazlıyan  Yozgat 951   39.1936670   35.2468330
                        Çandır  Yozgat 952   39.2433760   35.5171960
                     Çayıralan  Yozgat 953   39.3048920   35.6445310
                       Çekerek  Yozgat 954   40.0710849   35.4975090
                     Kadışehri  Yozgat 955   39.9972090   35.7915850
                     Saraykent  Yozgat 956   39.6927949   35.5100369
                      Sarıkaya  Yozgat 957   39.4936970   35.3755219
                        Sorgun  Yozgat 958   39.8128210   35.1903800
                      Şefaatli  Yozgat 959   39.5004860   34.7582230
                    Yenifakılı  Yozgat 960   39.2119880   35.0031260
                        Yerköy  Yozgat 961   39.6416120   34.4694250
                 Yozgat merkez  Yozgat 962   39.8210490   34.8085730
                     Alaplı  Zonguldak 963   41.1826900   31.3845300
                    Çaycuma  Zonguldak 964   41.4286440   32.0772040
                     Devrek  Zonguldak 965   41.2214120   31.9544670
                     Ereğli  Zonguldak 966   41.2799090   31.4202600
                   Gökçebey  Zonguldak 967   41.3060440   32.1431970
                    Kilimli  Zonguldak 968   41.4881710   31.8669620
                      Kozlu  Zonguldak 969   41.4388500   31.7539810
           Zonguldak merkez  Zonguldak 970   41.4535210   31.7893800
