         Şehir      X(Enlem)      Y(Boylam)   
         İzmir 01   38.4237340   27.1428260
        Manisa 02   38.6140337   27.4295624
         Aydın 03   37.8380162   27.8455601
       Denizli 04   37.7830159   29.0963328
       Kütahya 05   39.4199547   29.9857320
Afyonkarahisar 06   38.7568852   30.5387038
          Uşak 07   38.6742286   29.4058825
         Muğla 08   37.2153740   28.3633940
